"","ENSEML_ID.biotype.symbol","X553C2","X3113C4","iPS1_dup","X690C5","iPS1","iPSC6","iPSC2_dup","iPSC2","iPSC5","X22q1115","X22q1115_dup","X1220C2","X1804","X22q1110C5","X22q1130","X22q1130_dup","X22q1160","X537","X1275C9","FoldChange","p.value"
"12821","ENSG00000204576.7|protein_coding|PRR3",26.9332,24.6059,24.5004,23.9275,26.4691,23.4909,23.1106,26.1929,24.0315,24.8861,28.1065,21.2337,21.4978,24.2899,21.9288,20.6019,21.803,22.4651,18.94,0.910040759287295,0.032009755755368
"12894","ENSG00000205352.6|protein_coding|PRR13",18.996,20.1873,28.4594,20.0958,22.0188,26.8818,19.1936,24.0446,24.2719,20.9376,34.1712,36.0391,19.988,22.1831,36.4852,30.9944,33.9877,21.4832,23.9792,1.23548772172509,0.0481647890036143
"12902","ENSG00000205542.6|protein_coding|TMSB4X",910.369,772.927,557.07,773.612,406.048,686.357,723.315,818.849,1085.56,1109.07,958.381,1561.39,1352.88,907.331,1285.83,1282.83,903.936,1290.16,1151.35,1.57746857898159,0.000257127804789376
"12949","ENSG00000206503.7|protein_coding|HLA-A",11.8555,20.7434,11.9005,16.4019,8.46776,11.1289,19.4976,13.0515,8.89927,17.8601,12.62,17.8356,14.1974,33.9553,39.6828,21.7607,31.7914,21.2818,17.2367,1.68434441610502,0.0131314542963378
"12983","ENSG00000211455.3|protein_coding|STK38L",15.4966,15.2165,19.3379,13.1935,17.5431,17.3951,15.8137,7.49709,15.9065,15.0432,21.3605,23.8997,17.7426,11.6362,15.0765,27.8214,28.5087,19.4363,18.4505,1.30333371931104,0.0421873170416606
"13060","ENSG00000213619.5|protein_coding|NDUFS3",73.7914,64.8588,66.2583,76.9179,77.7549,64.281,64.1575,81.1892,65.0394,69.4588,73.0697,61.3223,60.325,70.009,67.5282,53.7641,56.2729,65.9147,60.3782,0.905384404596054,0.0432621215017963
"13153","ENSG00000214941.3|protein_coding|ZSWIM7",21.4482,20.9393,24.9401,19.5751,19.2933,15.091,18.9736,16.991,20.2843,24.0104,24.2885,28.9365,20.8773,21.6869,27.0201,20.097,16.7287,23.4413,22.7899,1.16533579968896,0.0365039125067245
"13156","ENSG00000215012.4|protein_coding|C22orf29",6.74762,5.20351,7.51971,6.15399,8.29147,6.56743,6.62894,8.14077,6.50554,2.85554,3.05623,2.7255,2.84665,2.91876,4.75296,4.08355,3.87137,2.35678,3.90609,0.486343637799718,2.84803677732752e-07
"13165","ENSG00000215193.7|protein_coding|PEX26",24.3989,19.7328,14.1371,17.3625,15.2125,17.0676,19.046,22.2377,17.2674,16.8132,14.7412,12.648,17.0358,18.8422,13.7189,10.351,12.7236,18.2818,17.2316,0.823900698355486,0.0342114006671962
"13175","ENSG00000215301.5|protein_coding|DDX3X",88.3412,85.0367,100.295,81.6472,84.975,79.0049,93.0286,93.8389,79.4452,87.0986,90.7502,126.718,125.845,99.5795,128.591,113.683,90.8237,90.8826,83.8585,1.18894092470756,0.0205021779802582
"13215","ENSG00000219438.4|protein_coding|FAM19A5",17.0957,29.6464,11.4345,20.9412,10.9825,15.9454,21.4618,20.8347,27.0145,4.05245,8.52115,13.3673,20.7764,15.7128,15.245,12.0158,6.62436,12.2703,24.4507,0.682794749216882,0.0472696577461025
"13302","ENSG00000224020.1|antisense|MIR181A2HG",3.93899,0.960065,2.92125,1.9121,3.92795,2.87784,1.14449,2.31644,2.0224,5.31854,5.25641,4.71323,2.61901,4.86725,1.90012,2.74112,3.12834,4.06956,2.14696,1.50237033992877,0.0390303652285169
"13314","ENSG00000224165.1|antisense|DNAJC27-AS1",3.00536,1.79158,3.49421,2.15104,2.48819,1.47052,1.79157,3.42823,1.46777,1.19929,1.74865,0.806499,1.38564,1.15857,1.53895,0.982445,1.8377,2.24428,1.91718,0.632444345180091,0.0145393696303082
"13324","ENSG00000224470.2|protein_coding|ATXN1L",8.55505,9.08744,11.0367,9.0626,10.9475,11.2466,8.90169,9.12665,8.42554,9.01492,12.5581,12.0879,9.93725,10.8842,14.2473,13.9602,13.6761,8.29666,10.3769,1.19847033971731,0.0265439659726609
"13382","ENSG00000225973.3|antisense|RP11-139H15.1",9.95029,4.70146,8.3059,5.87289,8.94306,6.14979,9.24959,7.41562,8.8875,9.53378,10.226,9.23319,10.0694,8.22591,12.3016,10.8732,9.05358,10.2497,10.425,1.2978883961535,0.00546297176469654
"13482","ENSG00000228709.1|processed_transcript|AP001065.15",2.41395,0.846545,1.39765,0.423257,1.44926,0.559294,2.76826,1.33382,0.595498,3.70695,2.20616,4.89738,1.99425,2.87621,3.35416,1.19698,2.37379,0.572114,2.66022,1.97279537857537,0.0172023986923698
"13495","ENSG00000228989.1|antisense|AC133528.2",4.44465,2.73052,3.96134,4.24392,2.39705,4.41968,3.10488,5.85613,2.86346,5.52569,5.81364,3.0084,4.33655,6.74359,6.261,5.46538,4.2987,3.27657,4.75463,1.30904177724583,0.0435706232877454
"13545","ENSG00000230513.1|antisense|THAP7-AS1",4.27545,5.61716,3.40484,6.34494,5.36241,3.0461,4.97632,4.76183,4.31558,2.24866,1.474,1.12823,2.26209,3.3844,1.19934,0.912916,0.87904,1.61471,2.2504,0.37094275380166,5.91024228581158e-06
"13555","ENSG00000230733.2|lincRNA|AC092171.4",4.88607,5.55531,5.06531,4.75079,4.93313,5.36553,4.92566,5.51429,4.73873,4.46408,4.81971,3.98992,4.38673,4.35612,3.4649,4.33818,5.09814,4.9395,4.89348,0.880635017258185,0.00557005164724266
"13595","ENSG00000232098.2|lincRNA|CTD-2619J13.14",4.98715,4.76648,3.31478,4.61456,3.70686,5.83302,5.36775,4.72918,4.65711,5.55192,4.81664,4.94475,5.83095,8.10143,7.31505,7.03267,4.92419,4.71462,5.42979,1.25773512520818,0.0185946410321369
"13598","ENSG00000232119.2|protein_coding|MCTS1",34.5676,23.6397,27.3715,31.9208,30.7359,28.4597,29.5118,33.7768,28.6403,30.6048,27.934,27.2724,26.2245,29.5299,23.946,25.8828,22.2019,28.2632,27.0314,0.900893888523033,0.0483092796933894
"13605","ENSG00000232527.3|lincRNA|RP11-14N7.2",10.9217,11.7024,34.3097,13.5152,8.54889,30.4614,4.54748,18.1582,18.2134,13.0075,41.8549,17.37,13.7215,20.4533,39.6913,40.8024,74.9107,16.4957,50.2819,1.96657458117148,0.0424596820719372
"13628","ENSG00000233137.2|lincRNA|RP11-220I1.1",20.5642,21.8939,27.926,16.1071,21.4176,25.217,15.7196,18.8322,18.1894,20.0533,29.5109,35.8925,21.2982,19.1129,24.911,34.0921,45.6599,19.5559,27.9196,1.34615434692549,0.0362747895638233
"13669","ENSG00000234431.2|lincRNA|AC007283.5",2.52221,2.71794,0.831815,5.48988,0.972071,1.56428,1.45746,0.824955,1.61084,2.45533,1.72616,6.31793,2.21456,4.42893,5.11823,3.20537,1.69078,3.34185,4.21631,1.73659728723381,0.0480341499558952
"13679","ENSG00000234630.1|lincRNA|LL22NC03-2H8.4",1.96238,1.07589,1.45795,2.65264,1.66492,1.60698,1.9282,2.35552,1.66721,1.65063,0.85286,0.526118,1.16184,1.22946,0.881956,1.8457,1.56138,1.62719,1.15889,0.686943229440577,0.0137883157354484
"13735","ENSG00000235890.1|antisense|TSPEAR-AS1",2.65384,1.07503,1.55388,0.129075,1.32502,0.925207,2.69584,0.963705,0.513601,4.70982,1.98211,6.289,2.28115,3.2792,4.67693,1.63335,6.20726,0.599349,3.6612,2.68583863996192,0.00619997229922352
"13752","ENSG00000236338.1|protein_coding|AC015987.2",12.0883,9.3226,19.1458,21.646,19.2681,9.81487,7.88758,15.3286,9.62124,9.2704,13.3138,15.225,5.79805,9.95385,7.35677,7.54521,7.65016,6.06787,5.73902,0.637497157055951,0.0265849669110615
"13756","ENSG00000236540.2|antisense|AC006547.13",2.82999,1.86637,1.12918,2.22535,1.17595,1.35039,1.57116,2.31991,3.56926,0.620796,1.00993,0.507715,0.532438,1.2449,0.649477,0.34929,0.9849,0.844376,0.508,0.36183606873657,0.00132245074437882
"13770","ENSG00000237015.1|antisense|CTA-984G1.5",0.459817,1.17375,0.529775,0.241776,0.991197,1.03754,1.11556,0.175264,1.03046,1.64745,1.20455,1.39227,1.00834,1.81852,2.18602,0.709958,1.75545,0.886864,0.778118,1.78364738312565,0.0111522664810648
"13794","ENSG00000237517.4|antisense|DGCR5",7.2456,4.78505,4.32056,6.11461,4.94129,3.92875,5.7118,10.1702,5.7754,2.64579,1.53898,1.23863,2.36689,2.40905,1.2274,3.45618,1.00023,3.98521,2.67871,0.382923469890322,0.000251824921689619
"13826","ENSG00000239415.1|processed_transcript|AP001469.9",4.62738,4.27475,2.93762,5.1202,4.10885,3.51665,5.50323,3.1805,4.16823,4.42966,2.18,2.76123,3.99624,2.88123,2.6552,2.74261,2.59062,4.11556,2.32666,0.73752722210217,0.0109665240366453
"13869","ENSG00000241043.1|protein_coding|GVQW1",1.52792,1.39294,1.35433,1.55967,1.79306,1.10729,2.32008,1.13988,1.94373,1.2404,1.30892,1.02532,1.29082,1.03814,0.933666,1.09396,0.816842,1.31556,1.29098,0.722768192716548,0.0109741586620508
"13900","ENSG00000241973.6|protein_coding|PI4KA",23.6829,21.7017,23.7161,19.7336,21.8928,21.0113,22.4665,26.4267,26.5805,15.2123,13.3822,11.8447,15.5748,17.3988,12.8418,15.608,10.5048,11.7355,11.0987,0.587231344115522,9.01675811024273e-08
"13913","ENSG00000242259.3|protein_coding|C22orf39",24.7393,21.0592,16.449,26.7808,18.1685,19.6817,19.3254,25.348,19.6297,11.1927,8.76732,8.03798,10.3172,12.8896,14.486,7.30137,4.90505,11.115,9.91489,0.465705899521711,1.29382566267632e-06
"13951","ENSG00000243335.4|protein_coding|KCTD7",20.6903,16.6087,18.783,19.7713,20.839,22.162,22.4329,20.6401,21.7396,17.382,14.1643,13.3563,20.7377,19.6389,19.6292,18.5531,15.3971,23.0722,17.9644,0.881518008960787,0.0499193489523387
"13955","ENSG00000243452.3|protein_coding|NBPF15",9.47887,10.4718,13.4862,9.23795,9.41971,13.3368,10.2693,10.0553,10.3571,9.41925,16.6447,16.9768,13.2246,12.8154,7.69787,14.3975,18.3101,12.6339,13.4721,1.26968214403396,0.0282708773567193
"13992","ENSG00000244462.3|protein_coding|RBM12",40.2669,46.8864,39.3612,40.2036,40.7892,43.7687,40.0445,45.0769,43.8622,48.2071,54.7023,43.4486,47.384,49.0635,46.8788,45.258,40.4672,47.1777,38.8594,1.09215372866326,0.0353557205343972
"13997","ENSG00000244567.1|lincRNA|AC096772.6",4.78784,4.23878,4.27942,5.42167,4.92877,3.32827,3.69155,3.69962,2.96575,3.35843,2.87875,3.95495,3.63102,3.86961,3.47201,2.93911,3.15682,3.7515,3.44921,0.83058066230032,0.0347145384828795
"14007","ENSG00000245060.2|lincRNA|LINC00847",2.21982,4.55829,3.73832,1.34259,1.41716,2.42221,0.809735,1.49106,0.975408,1.8725,3.07717,10.3752,2.34323,4.64282,6.76962,5.32173,5.47383,1.91661,2.55006,2.10325950074397,0.0295695783885383
"14050","ENSG00000247095.2|lincRNA|MIR210HG",3.70192,2.22712,4.49966,3.67841,3.31342,5.65043,3.28168,4.08112,4.88411,4.57102,9.40743,3.91573,4.91562,7.54311,4.6582,4.45434,9.84675,3.08774,5.13291,1.46610101345296,0.0428206562222017
"14051","ENSG00000247121.2|protein_coding|CTD-2260A17.2",2.11626,1.32092,1.94668,1.36287,2.36897,1.85012,1.79173,2.09463,2.22923,0.857954,0.704566,0.637361,1.49281,1.25405,0.576847,1.63972,1.0863,2.891,1.32681,0.656894026898248,0.0199545729710668
"14055","ENSG00000247228.2|antisense|RP11-296I10.3",5.45733,4.35265,6.41196,2.79206,5.18643,5.93058,7.7602,8.50088,4.75011,3.85771,6.50223,4.56994,3.06306,3.19513,3.2499,3.81422,5.25383,4.23403,2.79426,0.713322442131938,0.032163649194595
"14066","ENSG00000247708.2|antisense|STX18-AS1",2.84198,2.6196,3.17239,2.02177,3.88996,3.24352,2.92508,3.23265,3.03663,4.11274,4.54003,4.45067,3.16462,3.504,3.51327,3.14717,3.56241,3.18242,3.08635,1.20952490366364,0.019136628124989
"14119","ENSG00000249471.3|protein_coding|ZNF324B",3.42871,2.62856,3.57998,3.40171,3.28082,2.98597,2.89648,4.4591,3.10728,3.05312,2.2777,2.5288,2.98007,3.4388,2.04092,2.61265,2.8112,2.77309,3.41561,0.844472214188032,0.0368392073961052
"14130","ENSG00000249853.3|protein_coding|HS3ST5",3.65551,5.4842,1.71742,5.32163,1.69546,1.37331,2.79731,6.38362,3.02829,2.95184,0.518438,0.416923,2.63221,2.38181,0.882966,0.45094,0.318922,3.32774,2.51637,0.469162996813085,0.0232420655436516
"14167","ENSG00000250644.1|protein_coding|RP11-295K3.1",0.596549,1.21544,1.15461,0.824034,1.64426,0.691559,0.461835,2.0176,0.766757,1.69047,2.00638,4.23102,0.778319,0.795634,1.17935,2.04309,4.19905,0.71614,3.21264,2.00230412037414,0.0437967696073438
"14315","ENSG00000254870.1|protein_coding|ATP6V1G2-DDX39B",8.63837,10.6824,2.52191,3.85913,6.88159,6.27443,6.80259,3.60966,6.0269,8.11491,7.1322,6.76103,10.6387,11.0515,13.8549,5.51879,7.58256,8.60999,8.50926,1.42858535854942,0.0357735062245446
"14317","ENSG00000254901.3|protein_coding|MEF2BNB",11.0485,8.35481,11.095,13.5624,10.9278,9.88777,11.5827,16.8161,7.74643,10.0087,7.24542,3.22091,10.311,7.7006,3.6635,5.97533,9.53065,11.8203,8.06525,0.690818163379264,0.0144589927389047
"14326","ENSG00000255072.1|protein_coding|PIGY",22.1002,21.3163,18.7227,16.0067,27.2523,2.52264,7.62171,13.0318,18.816,4.83053,16.6005,3.30747,7.04829,10.8128,9.88109,9.4255,16.1204,1.35392,16.7485,0.586986190072824,0.045915863492966
"14331","ENSG00000255112.2|protein_coding|CHMP1B",33.5878,32.7473,28.2055,41.5332,23.2936,33.447,32.4328,29.7668,28.8695,29.8941,41.6853,85.8139,35.7237,32.6987,42.4151,38.7722,51.6291,34.8339,40.3744,1.3754105469321,0.0493014234595407
"14338","ENSG00000255164.1|antisense|RP5-1047A19.4",1.10488,2.88277,0.850115,1.93483,1.19221,1.40699,1.78762,2.24838,1.23514,0.873481,0.641723,0.60351,1.60714,0.808461,0.116295,1.42429,1.09929,1.70768,1.54076,0.640607023113877,0.0475813189157662
"14356","ENSG00000255423.1|protein_coding|EBLN2",2.04681,1.55362,1.76017,1.49385,1.92719,2.28357,1.71061,1.33962,2.99886,2.40751,3.45231,1.95297,2.32902,1.76121,2.88149,2.71849,3.28978,1.94811,2.25006,1.31421413671608,0.027334307721571
"14361","ENSG00000255458.1|lincRNA|RP11-539G18.2",2.10388,1.23042,1.10263,1.59816,1.96571,0.504379,1.14823,1.84214,0.9105,1.19917,0.386714,0.704584,1.09183,0.684425,0.822816,0.58065,1.02529,1.20683,1.45357,0.664215585477697,0.042700471543405
"14371","ENSG00000255561.2|protein_coding|FDXACB1",1.63094,1.62256,1.66351,2.14797,2.61325,1.17002,1.47881,2.0747,1.4816,1.33481,1.7033,1.35068,1.44138,1.76297,1.31525,0.925348,1.00721,1.20066,1.08842,0.743987745665904,0.0192513848328711
"14533","ENSG00000259244.1|processed_transcript|RP11-182J1.12",0.15402,1.56783,1.60136,0.485711,1.99536,1.5516,0.623102,0.47045,1.03131,1.36331,2.94742,2.63979,1.76582,1.08113,1.35834,4.05443,3.42627,1.54888,0.894823,2.00112920474693,0.0200836104594075
"14592","ENSG00000259905.1|lincRNA|PWRN1",1.15566,0.748887,1.8316,0.971513,1.43764,0.874981,1.60331,0.824403,0.783769,2.8062,1.13614,6.3204,2.65229,2.90396,1.1833,2.04266,1.70175,1.45373,0.942142,2.03565258499439,0.045431253076996
"14629","ENSG00000260248.1|lincRNA|RP11-143K11.1",7.86605,11.851,2.35164,11.5869,3.2911,10.8123,11.4623,16.9729,5.10274,6.03828,5.6632,0.382912,8.06726,7.99282,5.41851,0.551666,0.57062,4.88342,7.36157,0.519542769942235,0.0357835513501444
"14643","ENSG00000260351.1|antisense|RP11-382A20.6",2.71373,2.42178,1.0451,3.80365,1.62771,1.36181,1.58582,1.84213,1.57003,1.60053,0.524468,0.368773,1.37035,0.661359,0.379781,1.51761,0.645183,2.68265,0.750091,0.525864773400045,0.0201056222676651
"14647","ENSG00000260400.1|sense_overlapping|RP11-119F7.5",4.47921,5.14448,2.69159,6.7871,4.23422,2.38854,4.0634,4.13053,3.13299,3.7134,2.18781,3.33213,3.16827,3.89588,2.4543,1.65829,1.607,3.93427,2.60676,0.69368070223356,0.0313806614329335
"14670","ENSG00000260579.1|antisense|RP11-382A20.2",1.75076,2.60969,2.01798,3.90591,3.77519,1.06372,2.83186,0.667521,1.96116,1.30458,2.29191,0.438555,1.2201,0.769261,0.415865,1.52128,1.30131,2.36473,1.84689,0.58915449054064,0.0469915552283678
"14685","ENSG00000260804.2|lincRNA|RP11-566E18.3",14.3865,20.2122,10.1766,23.2982,14.7554,10.4725,15.0028,15.5452,12.9918,12.99,9.52649,9.56582,13.5623,6.28558,1.96585,8.85123,8.75219,21.3046,11.1488,0.683694486748143,0.0380116697744688
"14687","ENSG00000260822.1|sense_overlapping|GS1-358P8.4",3.64993,2.97991,2.90258,3.23794,1.64633,3.13224,2.5079,2.41244,2.87643,3.01909,2.77258,4.01067,3.60399,4.69411,6.83301,3.4938,3.82248,2.62529,3.49802,1.36258757895817,0.033289666221732
"14688","ENSG00000260837.1|lincRNA|RP11-434B12.1",1.2966,1.38693,1.04353,1.85711,1.09017,1.89039,2.44942,2.01288,1.8623,1.66845,1.0585,1.27019,1.16559,1.26007,0.920881,0.81134,0.655195,1.14647,1.44522,0.689199272230517,0.0148956759979738
"14706","ENSG00000260948.1|sense_overlapping|RP11-552M11.8",1.93611,2.39268,1.2157,1.69793,1.9478,1.68251,2.17719,2.12085,2.28296,2.03684,1.95152,2.95594,2.12614,3.05678,3.03286,2.31915,1.95857,2.13007,2.02332,1.21647756668632,0.0421084849081037
"14715","ENSG00000261067.1|processed_transcript|RP11-264B17.3",2.01415,0.887271,2.21411,2.09834,2.67692,2.2995,1.77335,1.94733,1.76781,1.45243,1.56005,1.99459,1.20835,1.84981,1.10464,1.7308,1.8049,0.936161,1.09916,0.750436463916828,0.0281758865271026
"14724","ENSG00000261114.1|sense_intronic|RP11-325K4.2",0.15336,0.87518,0.841521,0.323119,0.340805,0.709439,0.442767,0.562872,1.48903,0.759582,3.19156,1.60555,0.974624,1.19538,0.440287,1.39537,2.50302,0.907009,1.1904,2.2213832714109,0.0207632665222612
"14733","ENSG00000261168.1|sense_overlapping|RP11-68I18.10",7.65751,7.18053,3.76109,8.67189,5.20321,4.71498,10.0966,7.73276,6.38374,6.3349,2.77377,3.60121,5.57364,6.05981,3.00175,2.29429,1.89516,7.70029,4.82912,0.645864072540593,0.0174034622974804
"14926","ENSG00000265817.1|protein_coding|FSBP",2.5857,2.39097,2.47397,2.2818,3.45772,1.97865,2.32942,1.21734,2.58731,1.93692,2.42834,4.54453,3.40369,2.22776,4.34006,5.10569,2.45901,3.51946,3.42861,1.41082628264347,0.0265265466850988
"14969","ENSG00000267161.1|lincRNA|AC005943.5",6.03129,6.3837,4.72833,6.56171,6.92988,5.07414,8.96436,6.3583,4.94802,5.39306,4.65759,3.67169,5.50547,4.73919,1.85225,4.02942,3.66243,7.03668,4.66751,0.726937428958661,0.0129831026684478
"14970","ENSG00000267165.1|antisense|RP11-78A19.3",28.9867,10.5741,20.0136,29.262,23.8655,27.0204,27.3148,22.3088,19.5546,33.7569,29.72,26.4029,31.8991,20.7793,40.2842,37.8115,39.2902,29.2529,23.4761,1.34708050004667,0.0127070430572373
"15012","ENSG00000267510.1|antisense|CTC-325H20.4",2.52653,2.57861,3.01934,2.87424,4.21806,1.18157,1.70291,2.64122,2.16231,1.7177,1.9163,1.09911,1.3064,0.55492,1.06797,2.23605,1.38154,2.00305,0.886671,0.556771745124055,0.00468178493195316
"15036","ENSG00000267769.1|antisense|CTB-50L17.9",1.45916,1.50453,2.36056,1.07379,1.41789,1.57136,1.29896,1.56017,1.19356,1.11788,1.2687,1.24225,1.21036,1.664,1.46964,1.017,0.999593,0.564506,1.08748,0.779559798452081,0.0483328121262961
"15081","ENSG00000268471.3|lincRNA|MIR4453",5.07779,3.56433,4.12956,5.36273,5.28053,4.53147,3.84018,4.87476,4.11078,4.23473,4.20216,3.03904,3.99238,3.93038,4.6985,3.30227,2.70852,4.47867,3.54717,0.841762203740643,0.0283099363419919
"15170","ENSG00000269918.1|sense_intronic|AF131215.9",2.81023,3.55286,3.13237,4.23708,3.44718,2.5079,3.76303,3.14506,3.11201,2.12494,1.79763,2.19526,2.93643,2.48099,2.69409,2.26746,2.95215,3.56742,2.96337,0.787060265816427,0.00918555338404545
"15194","ENSG00000269994.1|lincRNA|RP11-276H19.2",0.189355,0.410064,0.470365,0.0284676,0.146225,0.714632,1.79595,0.869971,0.159764,2.84677,3.29534,1.50145,2.19155,0.804239,4.71977,1.21903,0.211096,0.504181,0.368119,3.32206398620831,0.0306421065153551
"15225","ENSG00000270109.1|lincRNA|RP11-393M11.2",1.37526,1.21344,1.58654,1.65102,1.27164,0.886929,1.74813,1.19907,0.73258,1.40058,0.171271,1.10594,0.70242,0.862779,0.993603,0.911322,1.50586,0.455283,0.329806,0.651112917715459,0.0220084648317445
"15274","ENSG00000271265.1|lincRNA|RP11-230C9.4",0.897551,1.13635,0.20721,0.943137,0.968586,1.62101,1.307,0.411,0.401246,1.59538,0.938126,1.57982,0.996451,1.41844,1.58653,1.52753,1.37849,1.66495,2.10021,1.68594736662068,0.00594315313923877
"15376","ENSG00000272277.1|antisense|RP1-40E16.12",0.228007,2.37215,1.03311,2.30861,3.22399,1.89267,2.27594,1.29024,3.5706,2.14266,1.73224,0.584058,0.984906,0.960695,0.869577,0.644417,0.505055,1.07785,0.652633,0.502254613096326,0.0243900078987335
"15393","ENSG00000272368.1|processed_transcript|RP4-605O3.4",1.70326,2.3504,0.713884,1.12353,1.51414,0.939889,1.36464,1.37744,1.13051,1.06373,0.668152,0.259977,0.772162,1.11345,0.851901,0.478329,1.44321,1.1757,1.28407,0.671126120127589,0.0394515553328325
